,Class,"1,7-Dimethyluric acid",16alpha-hydroxydehydroepiandrosterone 3-sulfate,"3a,7a-Dihydroxycholanoic acid","3beta,7alpha-Dihydroxy-5-cholestenoate",3-Hydroxyvaleric acid,3-Indoxyl sulphate,3-oxopalmitic acid,4-Hydroxybutyric acid (GHB),5a-Dihydrotestosterone sulfate,5-Hydroxy-DL-tryptophan,5-hydroxyisouric acid,Ac-Ala-OH,Aminoadipic acid,Androsterone sulfate,Arachidonic acid,Aspartylglucosamine,Bilirubin,Caproylglycine,Cortisone,D-(+)-Glucose,D(+)-Phenyllactic acid,Deoxycholic Acid,Deoxyguanosine diphosphate (dGDP),dl-3-Indolelactic acid,DL-Lactic Acid,DL-Tryptophan,D-Tyrosine,Glycochenodeoxycholic acid,Glycocholic acid,Gly-His,Hypoxanthin,Isocitric acid,L-(-)-Threonine,L-(+)-Alanine,Linoleamide,L-Phenylalanine,Malondialdehyde,Myristoleic acid,N-2-Acetyl-L-ornithine,N-Phenylacetylglutamine,Oleic Acid,Palmitic Acid,Palmitoleic acid,palmitoleoyl ethanolamide,Pseudouridine,Taurochenodeoxycholic Acid,Taurohyocholic acid,Testosterone sulfate,tyr-thr,Uric Acid,Urocanic acid,β-Estradiol
CTRL01_00 (F247),CTRL,157408.912693061,1606296.70314615,478776.000962061,301127.358465894,2493770.34920117,7242125.72499494,1020429.99015552,16627122.0330718,10830555.1356709,254989.601227563,1166743.20186677,864484.890485618,450343.983916463,1161456.8784897,9359868.85493015,58353.5940106077,231501.106711347,1369729.51110604,417422.641110563,16032572.9075022,634911.267822183,69521.5945634787,135068.623375478,1007060.28536648,289027852.463999,37783071.0917452,28571540.9866815,224140.453025719,226857.546871688,551172.508854818,10887425.1328174,69332366.6291034,6316878.57914147,3678451.33471563,2535020.43138456,19417891.0746837,3304679.05552923,20853873.857748,226758.803256833,6212329.85208554,111280334.955845,71029099.6374872,55963951.005002,810776.789263369,2721498.14986401,909229.651780245,16672.3363695515,1094915.48923501,92368.6237189671,50811515.2973868,476705.119930704,344245.070980872
CTRL02_00 (F249),CTRL,882093.132391926,5103417.4881854,670205.650892249,637402.524150592,2129602.121236,2838434.33835581,979965.283626382,14058986.73975,670317.356310782,125868.36361674,978191.221083892,813930.401431051,328070.862785425,165806.199162447,8224703.65799946,84859.8629338639,267398.666004217,833694.544248601,450991.535796588,27507626.7017572,621561.047365216,1157652.04925122,38213.0239884329,1210492.72798248,219255053.581787,43467397.5019423,15451054.2028033,4763506.50408193,2493617.21957463,757505.199431099,1079281.28806693,17288082.7113194,3997558.7862987,4320385.25693705,2498343.08693776,10181022.2889095,5858341.49481803,3759082.19256354,64819.3233874522,671015.376827811,78014860.6930002,62104137.3855039,15038768.7299869,3370799.81275386,1660310.86562209,670935.323724286,256627.451219057,6893927.87123319,75208.5131847623,41427123.5505273,312073.02310138,333656.08479342
CTRL03_00 (F250),CTRL,908278.065542617,1004764.32413202,432161.111951867,325565.124358885,2472801.33076506,13544337.530868,1281824.27853446,13861580.5684998,1534655.70279584,242174.039193326,675376.049446875,1003735.86352414,374248.557770113,268553.545253025,5452998.26600978,181448.137042854,92627.3778280158,769942.148265273,313311.531289436,41338714.2824028,481946.304805835,465635.070182307,40683.5946670104,1044497.76971514,244432091.858107,60384696.6378602,37566574.3660222,1579921.95708973,852127.49635729,2441012.52253523,1389556.26018392,16082817.582113,6819588.48805867,4139001.03068243,2628140.33974877,18949998.7687776,8232452.28815,10240269.5862703,218127.65434922,9804162.44872801,66132261.2926041,57943607.072263,25672004.0051387,426145.601494429,2676239.6126722,519041.049866795,11048.277672449,4129807.4894804,127856.697130847,33646278.8929781,354643.83321816,225916.494188639
CTRL04_00 (F251),CTRL,194953.355586234,660479.921228374,1236982.89770341,482845.718343204,2540980.18307248,4674534.38637196,1049744.49234952,8064174.70055903,1511719.91028161,301762.748286939,747483.236256183,170909.570411106,142951.984833532,405690.979016066,4269912.52598253,200386.428728551,565469.436971713,729523.741049926,340707.034230055,38364105.6153823,2498350.37448191,183635.898498449,655130.557728164,1339183.46044072,153691099.586467,64218970.1117651,51058841.0877635,5525851.7597947,4265259.47283822,310363.455815702,374302.714143614,55459275.8435507,7560377.04051508,5779688.24863986,152762.032502603,21638934.1680674,7581994.46715468,1982596.81812864,109380.424213502,4364720.70514205,49892640.5431534,50676272.5782274,5526021.288499,39834.7493332122,1569825.47240626,6566628.99648243,469316.267158941,4228682.02377191,89148.4702934877,34887896.8157443,2150280.21870086,173879.233415947
CTRL05_00 (F253),CTRL,302714.887309366,435455.725820096,699452.145777483,694927.807520519,1385899.70401782,3020989.6285676,925359.289446431,7204698.37667141,6000390.23238772,508256.2971931,600077.712617488,105785.875995405,67946.0779250427,2051060.71819846,9703527.65964755,115592.208078587,227437.200570921,1009381.90214396,358602.111330378,27514478.841712,531415.42472648,767941.61731885,2376037.85003641,1308158.52165189,178724321.674711,60560241.4460467,24838647.6999537,887898.478594617,1086091.26927781,456565.976045002,473033.460751274,29279423.651004,4805849.61877623,3529013.52696736,32800.6815546492,21247641.7148318,6055692.76153272,7980383.28122819,88107.1152483078,2457254.03061624,75342414.5397673,67486638.3516226,28467876.7677281,34162.7947612625,1207295.28781477,232175.545646619,42027.5612174906,9218172.78751408,171319.619120244,32020692.8187305,629330.27130152,151544.120706709
CTRL06_00 (F255),CTRL,307304.560264479,1486977.2804042,491488.361483761,724565.746348211,1763740.05110733,9601830.98450281,1040398.4638504,7564531.26995235,2189655.09283699,385429.929790919,614342.798495542,283392.762626113,168481.694770069,616251.335979527,4567376.72690807,123470.972048036,103711.568466092,811071.89647898,605777.482822755,36999728.9516066,645990.235432465,2285232.67711782,771995.878907886,812736.405017484,123291497.797597,52623331.226882,29484463.2480155,3091598.17762198,1560854.9734108,486994.25157626,347776.143326041,65521157.7534508,4840959.40976648,4355657.1463181,27370.9489257989,17205307.8698873,6560484.92485633,4763655.56688906,162476.49863152,3333249.49792197,61090990.1095014,56256752.7981049,14616128.9625016,29319.3112964467,1659653.96059649,655616.584142404,251174.744682391,4136003.1280139,100845.44750886,32314905.5718778,410469.316199415,253554.606455741
CTRL07_00 (F256),CTRL,390234.897339722,4487608.21344267,1284603.46268498,544280.85712427,1527487.51413981,3589713.42274924,1180040.111426,7355417.05738194,1609196.40827738,221990.15015075,894694.555831241,264722.214306276,180533.280667842,429105.995940595,8520370.57771066,87786.8233217704,167063.486169678,1194376.33139341,403037.819901515,36121545.4342162,287199.691402573,995596.258230925,6657116.15069267,901825.766126866,160776072.162259,36481335.0322188,17558500.5764276,1153264.04815296,789586.041724743,732524.260449479,981301.18283473,66455892.6925261,4570022.55696262,4196607.32619515,26582.7301675503,9685684.6887705,6549142.70912223,2782788.15445236,182202.273584332,1197308.45983382,50968191.917693,47349958.0402417,9537338.2145041,27527.1225290949,1563312.80492802,177461.240126067,267196.849373968,6183323.840146,87148.732032245,40715850.1943941,624480.890580211,206432.851367319
CTRL08_00 (F257),CTRL,304306.40596785,1897423.84690552,734209.090698655,593206.915110898,1336591.20552252,7260736.34257688,1081943.26114116,8914566.26466137,3912635.23956987,394805.402679133,630421.84735245,350604.479846818,174265.797279904,908255.752815802,6842999.20607523,127183.245395358,111157.616898293,966403.98386424,463827.673896123,27311813.3103193,302239.368643107,1377418.34473481,905691.608717596,1250085.8793533,104527419.955886,52907859.9677215,27772452.4382985,949241.652762554,2155704.90304253,359474.076880821,342169.290685056,54217449.9749285,5889666.34840525,4924913.83790013,322361.933277945,11729569.070937,5358274.94101765,8857437.89153608,190929.729785253,1902756.04296317,91808082.0933748,70450798.4370553,33900158.8301896,32086.2050065005,1275062.8153636,208112.979603425,163004.568027803,11576461.0650997,156699.565148116,29281932.6859875,343066.001581709,379758.608070178
CTRL09_00 (F258),CTRL,1338242.38306312,2463015.14675777,1657478.47616589,385174.853072217,1928262.03266918,3146492.12227578,1085385.0847779,9527627.06399765,2178609.90455738,395028.151225893,535649.121028274,197806.899991107,97087.8813862272,382040.259948309,5565608.76703259,164073.547782523,172999.995129097,678953.050667269,263289.622888471,38843373.2121363,483593.257147777,724706.243187796,1127825.13904163,1044110.45481253,112944437.476974,45008492.9755761,34480377.6769882,2442559.66938154,2150449.69751888,1639123.10196083,474808.47193693,66267860.2559156,7846424.64886168,4060657.26391289,30637.5967950352,26317054.2454454,7004072.72230708,2660925.25416773,85228.7332548137,869070.494254846,87005984.6545107,75371747.0189379,18646117.5147833,31102.2771383785,1269584.51013081,978649.569053833,169326.568804551,11966681.5187982,134598.643307455,25306761.9024331,942720.098989337,243605.616889934
CTRL10 (F259),CTRL,10934.2078054948,1411218.62326095,279285.149147056,607428.55213011,1017527.5069471,2490064.90368506,790652.318008408,5171838.65152584,3141508.41706074,181226.509240706,413207.731350778,189041.061448306,108398.790498283,606649.442542738,6392807.63119754,123620.180122112,184502.934696975,776294.634193411,343752.605277521,30510962.3090151,591148.866356379,852864.64436786,469148.315471753,794601.162595395,142392326.18797,28472777.1245631,23274695.3112797,1416219.69618502,1158766.07794322,278184.695110825,240817.337199523,49762307.9590304,5520657.31646511,4994437.95605754,50833.3212633538,10312149.606851,6108855.96822733,5358732.03319276,156835.880815388,853511.850320724,75150251.9407467,73417226.2621447,24428282.6818506,20852.4453829778,1125970.85857271,556346.527639966,145115.385954285,13022115.2097173,58961.8862144248,19864923.8165099,1088432.33185717,425756.079293862
