,IsoForest_Outlier,OCSVM_Outlier,LOF_Outlier,IsoForest_Score,OCSVM_Score,LOF_Score
P01_00 (F368),True,True,True,-0.04435203928061693,-0.00011508617324729187,-0.046991486521796855
P03_00 (F371),True,True,True,-0.02928012840189087,-0.001947399521538884,-0.06584577118584845
P65 (F436),True,True,True,-0.06827502697694954,-0.004559924487043787,-0.19904118913483515
P93 (F464),True,True,True,-0.07483355439913897,-0.029321261221090467,-0.5878139788828176
P72 (F443),True,True,True,-0.01832001475078837,-0.0004420614517144372,-0.08832006948108528
P02_00 (F370),True,True,False,-4.270650908433371e-05,-0.0002521977024319,0.020169835635627242
P27 (F397),False,True,True,0.0036002249840857425,-0.0010865933835635389,-0.14799430646158163
P64 (F435),True,True,False,-0.010938378979761465,-0.00016396800721274474,0.10302526996829231
P50 (F421),False,True,True,0.008431749391519194,-0.008321432849355048,-0.2242457650974221
P81 (F452),True,True,False,-0.0009648524374156753,-0.002166065334227696,0.005548365308033265
P77 (F448),False,True,False,0.022940011419934625,-0.00037554653696680873,0.12858631493273665
P82 (F453),True,False,False,-0.01114093572463093,0.0003755155551470324,0.11269275604855666
P86 (F457),True,False,False,-0.0036133474311544345,0.000868941825128644,0.12746470437113522
P92 (F463),False,True,False,0.017633819364025582,-0.002026234940778693,0.012881900662592427
P96_00 (F468),False,True,False,0.03114186071318814,-0.00018074073558338455,0.15596084657499154
