Split_Strategy,Class_Balance_Discrepancy,Train_Prop_CHD,Test_Prop_CHD,Train_Count_CHD,Test_Count_CHD,Train_Prop_CTRL,Test_Prop_CTRL,Train_Count_CTRL,Test_Count_CTRL,Train_Global_Mean,Train_Global_Std,Test_Global_Mean,Test_Global_Std,Train_Avg_Spatial_Dist,Test_Avg_Spatial_Dist,Spatial_Dist_Ratio
Random_KFold_CV_Fold1,7.276580713528787,48.99328859060403,52.63157894736842,73,20,51.006711409395976,47.368421052631575,76,18,-2.1198553725225305e-18,0.009459675396808044,0.00014135620639782668,0.009853400388596868,0.1138381573614593,0.11711449071793509,1.028780625340524
Random_KFold_CV_Fold2,13.882020487460267,48.322147651006716,55.26315789473685,72,21,51.67785234899329,44.73684210526316,77,17,-5.774649960298633e-18,0.009459675396808042,-1.7477245986531974e-06,0.009966983395197854,0.11385798534130935,0.11782539577871201,1.0348452541603441
Random_KFold_CV_Fold3,22.91891891891892,52.0,40.54054054054054,78,15,48.0,59.45945945945946,72,22,2.73361580285483e-18,0.009428090415820635,-0.00011084325645331729,0.009482929083447762,0.11333931743588319,0.11231743837066602,0.9909838960712354
Random_KFold_CV_Fold4,9.441441441441441,50.66666666666667,45.94594594594595,76,17,49.333333333333336,54.054054054054056,74,20,-3.730349362740526e-18,0.009428090415820633,-0.00014449866823836778,0.009248579931797682,0.11314418859315253,0.11128555861018471,0.9835729081088633
Random_KFold_CV_Fold5,10.774774774774762,48.66666666666667,54.054054054054056,73,20,51.33333333333333,45.94594594594595,77,17,-3.967196941327226e-18,0.009428090415820633,4.2717377575140246e-05,0.009979133745365217,0.11339964599015834,0.11850740533842788,1.0450421101730143
Stratified_KFold_CV_Fold1,0.6711409395973149,49.664429530201346,50.0,74,19,50.33557046979866,50.0,75,19,1.1946695186682332e-18,0.009459675396808044,2.8086031376821912e-05,0.009638587069714662,0.11365836943819536,0.11524879270069786,1.013993014947899
Stratified_KFold_CV_Fold2,0.6711409395973149,49.664429530201346,50.0,74,19,50.33557046979866,50.0,75,19,-5.854749943618904e-18,0.009459675396808042,-8.56986975439172e-05,0.009170574429090259,0.11377148098018429,0.10943252672678634,0.9618625492433058
Stratified_KFold_CV_Fold3,2.7027027027026946,50.0,48.64864864864865,75,18,50.0,51.35135135135135,75,19,-8.340242077211871e-18,0.009428090415820633,-9.274671064160462e-06,0.009792571182159175,0.11344084573717557,0.11637233708893925,1.0258415858301646
Stratified_KFold_CV_Fold4,2.7027027027026946,50.0,48.64864864864865,75,18,50.0,51.35135135135135,75,19,9.62193288008469e-19,0.009428090415820633,-0.00010758752797791632,0.010030204772044199,0.11320777241792099,0.12002751603907635,1.0602409487926272
Stratified_KFold_CV_Fold5,4.03603603603603,49.333333333333336,51.35135135135135,74,19,50.66666666666667,48.64864864864865,76,18,4.257088508868239e-18,0.009428090415820633,0.0001059083648105288,0.009429972185034833,0.11326637140792907,0.11273041121237852,0.9952681436785832
Duplex,31.9756838905775,45.714285714285715,61.702127659574465,64,29,54.285714285714285,38.297872340425535,76,18,4.037114557997072e-18,0.00975900072948533,-0.00027657670683803277,0.012020953236695048,0.1176397327612527,0.14401337312990506,1.2241899037817188
