Model_Name,Accuracy,Balanced_Accuracy,AUC,Classification_Error,Sensitivity,Specificity,Precision,TP,TN,FP,FN
Random_KFold_CV_Fold_1_Ridge,0.8157894736842105,0.8222222222222222,0.9472222222222222,0.1842105263157895,0.7,0.9444444444444444,0.9333333333333333,14,17,1,6
Random_KFold_CV_Fold_1_Lasso,0.9473684210526315,0.9444444444444444,0.9972222222222222,0.052631578947368474,1.0,0.8888888888888888,0.9090909090909091,20,16,2,0
Random_KFold_CV_Fold_1_ElasticNet,0.868421052631579,0.875,0.9638888888888889,0.13157894736842102,0.75,1.0,1.0,15,18,0,5
Random_KFold_CV_Fold_2_Ridge,0.8421052631578947,0.8515406162464986,0.9579831932773109,0.1578947368421053,0.7619047619047619,0.9411764705882353,0.9411764705882353,16,16,1,5
Random_KFold_CV_Fold_2_Lasso,1.0,1.0,1.0,0.0,1.0,1.0,1.0,21,17,0,0
Random_KFold_CV_Fold_2_ElasticNet,0.8421052631578947,0.8515406162464986,0.9579831932773109,0.1578947368421053,0.7619047619047619,0.9411764705882353,0.9411764705882353,16,16,1,5
Random_KFold_CV_Fold_3_Ridge,0.8918918918918919,0.8878787878787879,0.9787878787878788,0.10810810810810811,0.8666666666666667,0.9090909090909091,0.8666666666666667,13,20,2,2
Random_KFold_CV_Fold_3_Lasso,0.9459459459459459,0.9545454545454546,0.9787878787878789,0.05405405405405406,1.0,0.9090909090909091,0.8823529411764706,15,20,2,0
Random_KFold_CV_Fold_3_ElasticNet,0.8918918918918919,0.8878787878787879,0.9878787878787878,0.10810810810810811,0.8666666666666667,0.9090909090909091,0.8666666666666667,13,20,2,2
Random_KFold_CV_Fold_4_Ridge,0.8918918918918919,0.8867647058823529,0.9764705882352942,0.10810810810810811,0.8235294117647058,0.95,0.9333333333333333,14,19,1,3
Random_KFold_CV_Fold_4_Lasso,1.0,1.0,1.0,0.0,1.0,1.0,1.0,17,20,0,0
Random_KFold_CV_Fold_4_ElasticNet,0.918918918918919,0.9117647058823529,0.9852941176470588,0.08108108108108103,0.8235294117647058,1.0,1.0,14,20,0,3
Random_KFold_CV_Fold_5_Ridge,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,17,0,0
Random_KFold_CV_Fold_5_Lasso,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,17,0,0
Random_KFold_CV_Fold_5_ElasticNet,1.0,1.0,1.0,0.0,1.0,1.0,1.0,20,17,0,0
Stratified_KFold_CV_Fold_1_Ridge,0.9473684210526315,0.9473684210526315,0.961218836565097,0.052631578947368474,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,18,1,1
Stratified_KFold_CV_Fold_1_Lasso,0.9736842105263158,0.9736842105263157,0.9833795013850416,0.02631578947368418,1.0,0.9473684210526315,0.95,19,18,1,0
Stratified_KFold_CV_Fold_1_ElasticNet,0.9473684210526315,0.9473684210526315,0.9806094182825486,0.052631578947368474,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,18,1,1
Stratified_KFold_CV_Fold_2_Ridge,0.868421052631579,0.868421052631579,0.9750692520775623,0.13157894736842102,0.7368421052631579,1.0,1.0,14,19,0,5
Stratified_KFold_CV_Fold_2_Lasso,0.9736842105263158,0.9736842105263157,0.997229916897507,0.02631578947368418,1.0,0.9473684210526315,0.95,19,18,1,0
Stratified_KFold_CV_Fold_2_ElasticNet,0.9210526315789473,0.9210526315789473,0.9889196675900277,0.07894736842105265,0.8421052631578947,1.0,1.0,16,19,0,3
Stratified_KFold_CV_Fold_3_Ridge,0.8918918918918919,0.8918128654970761,0.9824561403508771,0.10810810810810811,0.8888888888888888,0.8947368421052632,0.8888888888888888,16,17,2,2
Stratified_KFold_CV_Fold_3_Lasso,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,19,0,0
Stratified_KFold_CV_Fold_3_ElasticNet,0.9459459459459459,0.945906432748538,0.9853801169590644,0.05405405405405406,0.9444444444444444,0.9473684210526315,0.9444444444444444,17,18,1,1
Stratified_KFold_CV_Fold_4_Ridge,0.8918918918918919,0.8903508771929824,0.9736842105263157,0.10810810810810811,0.8333333333333334,0.9473684210526315,0.9375,15,18,1,3
Stratified_KFold_CV_Fold_4_Lasso,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,19,0,0
Stratified_KFold_CV_Fold_4_ElasticNet,0.8918918918918919,0.8903508771929824,0.9853801169590642,0.10810810810810811,0.8333333333333334,0.9473684210526315,0.9375,15,18,1,3
Stratified_KFold_CV_Fold_5_Ridge,0.8918918918918919,0.8932748538011696,0.9678362573099415,0.10810810810810811,0.8421052631578947,0.9444444444444444,0.9411764705882353,16,17,1,3
Stratified_KFold_CV_Fold_5_Lasso,0.972972972972973,0.9722222222222222,1.0,0.027027027027026973,1.0,0.9444444444444444,0.95,19,17,1,0
Stratified_KFold_CV_Fold_5_ElasticNet,0.918918918918919,0.9195906432748537,0.9766081871345029,0.08108108108108103,0.8947368421052632,0.9444444444444444,0.9444444444444444,17,17,1,2
Duplex_Ridge,0.8936170212765957,0.9137931034482758,0.9578544061302683,0.1063829787234043,0.8275862068965517,1.0,1.0,24,18,0,5
Duplex_Lasso,0.9787234042553191,0.9722222222222222,0.9923371647509578,0.021276595744680882,1.0,0.9444444444444444,0.9666666666666667,29,17,1,0
Duplex_ElasticNet,0.9148936170212766,0.9310344827586207,0.9674329501915708,0.08510638297872342,0.8620689655172413,1.0,1.0,25,18,0,4
