Model_Name,Accuracy,Balanced_Accuracy,AUC,Classification_Error,Sensitivity,Specificity,Precision,TP,TN,FP,FN
Random_KFold_CV_Fold_1_RF,0.9473684210526315,0.95,1.0,0.052631578947368474,0.9,1.0,1.0,18,18,0,2
Random_KFold_CV_Fold_2_RF,1.0,1.0,1.0,0.0,1.0,1.0,1.0,21,17,0,0
Random_KFold_CV_Fold_3_RF,0.9459459459459459,0.9545454545454546,0.9939393939393939,0.05405405405405406,1.0,0.9090909090909091,0.8823529411764706,15,20,2,0
Random_KFold_CV_Fold_4_RF,1.0,1.0,1.0,0.0,1.0,1.0,1.0,17,20,0,0
Random_KFold_CV_Fold_5_RF,0.9459459459459459,0.9455882352941176,0.9970588235294117,0.05405405405405406,0.95,0.9411764705882353,0.95,19,16,1,1
Stratified_KFold_CV_Fold_1_RF,0.9473684210526315,0.9473684210526316,0.9889196675900277,0.052631578947368474,1.0,0.8947368421052632,0.9047619047619048,19,17,2,0
Stratified_KFold_CV_Fold_2_RF,0.9736842105263158,0.9736842105263157,1.0,0.02631578947368418,0.9473684210526315,1.0,1.0,18,19,0,1
Stratified_KFold_CV_Fold_3_RF,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,19,0,0
Stratified_KFold_CV_Fold_4_RF,0.972972972972973,0.9736842105263157,1.0,0.027027027027026973,1.0,0.9473684210526315,0.9473684210526315,18,18,1,0
Stratified_KFold_CV_Fold_5_RF,0.972972972972973,0.9722222222222222,0.9970760233918129,0.027027027027026973,1.0,0.9444444444444444,0.95,19,17,1,0
Duplex_RF,0.9574468085106383,0.9549808429118773,0.9942528735632183,0.04255319148936165,0.9655172413793104,0.9444444444444444,0.9655172413793104,28,17,1,1
