Feature,Mean_Weight,Abs_Importance
Myristamide_Block2,-22.992122072708117,22.992122072708117
Linoleamide_Block1,-13.958725300080701,13.958725300080701
Caproylglycine_Block1,13.092348214829556,13.092348214829556
L-Cysteinylglycine disulfide_Block2,12.790236943106922,12.790236943106922
Glycyl-4-hydroxyproline_Block2,-12.112133306456789,12.112133306456789
L-Cystine_Block2,11.959782815499608,11.959782815499608
glu-ser_Block2,-10.887231678746408,10.887231678746408
Acetyl-L-carnitine_Block2,10.019255767100995,10.019255767100995
N-Glycosyl-L-asparagine_Block2,8.465929959128887,8.465929959128887
Cysteine-glutathione disulfide_Block2,8.102256087921896,8.102256087921896
L-gamma-Glutamyl-L-valine_Block2,-7.539416563201991,7.539416563201991
N-Acetylneuraminic acid_Block2,7.5268476257311105,7.5268476257311105
Cortisone_Block1,7.157372264576585,7.157372264576585
Val-lys_Block2,6.821304904962278,6.821304904962278
glu-thr_Block2,-6.54400418357998,6.54400418357998
DL-Lactic Acid_Block1,-6.524939045891486,6.524939045891486
D-(+)-Proline_Block2,-6.419667864552735,6.419667864552735
Palmitic Acid_Block1,-6.322253889768126,6.322253889768126
Oleic Acid_Block1,-6.0125332014285595,6.0125332014285595
Acetylarginine_Block2,5.802197274353815,5.802197274353815
Υ-L-Glutamyl-L-glutamic acid_Block2,-5.768332809548629,5.768332809548629
L-Valine_Block2,5.742904837045316,5.742904837045316
5-Hydroxyindole-3-acetic acid_Block2,5.704794651667518,5.704794651667518
DL-Tryptophan_Block1,5.482592360909793,5.482592360909793
L-Methionine sulfoxide_Block2,-5.4741325829822145,5.4741325829822145
Taurine_Block2,5.259993267526693,5.259993267526693
9-Decenoylcarnitine_Block2,5.205746159108277,5.205746159108277
Homo-L-arginine_Block2,4.881856448995668,4.881856448995668
DL-Arginine_Block2,4.817290340507662,4.817290340507662
Isocitric acid_Block1,4.756536065071306,4.756536065071306
Glycocholic acid_Block1,4.708301428537705,4.708301428537705
5-Hydroxy-DL-tryptophan_Block1,4.705100885476584,4.705100885476584
neuraminic acid_Block2,4.668564990931774,4.668564990931774
L-(-)-Threonine_Block1,-4.511627183562532,4.511627183562532
Glu-Gly_Block2,-4.40607364124623,4.40607364124623
Adenosine 5'-monophosphate_Block2,4.362331616662232,4.362331616662232
N6-METHYLLYSINE_Block2,-4.340779908920836,4.340779908920836
4-Hydroxybutyric acid (GHB)_Block1,-4.259206846046048,4.259206846046048
Myristoleic acid_Block1,-4.198658352259203,4.198658352259203
L-gamma-Glutamyl-L-leucine_Block2,-3.7814353371652105,3.7814353371652105
Hydroxyhexanoycarnitine_Block2,3.7692892854454607,3.7692892854454607
Glycodeoxycholic acid_Block2,-3.7463854566285413,3.7463854566285413
N-2-Acetyl-L-ornithine_Block1,3.742257280493645,3.742257280493645
Aspartylglucosamine_Block1,3.7296613444716646,3.7296613444716646
D(+)-Phenyllactic acid_Block1,3.6473783260105668,3.6473783260105668
trans-2-Dodecenoylcarnitine_Block2,3.5743197411182455,3.5743197411182455
1-Methylhistidine_Block2,3.510797280615924,3.510797280615924
"N1,N12-Diacetylspermine_Block2",3.4954392206201286,3.4954392206201286
Pseudouridine_Block1,-3.4346508994973797,3.4346508994973797
Palmitoylcarnitine_Block2,3.3366087953381625,3.3366087953381625
