Fold,Metabolite,VIP
Fold_1,Myristamide_Block2,2.952464710688828
Fold_1,Linoleamide_Block1,2.506439913294544
Fold_1,L-Cystine_Block2,2.0030921681725906
Fold_1,Palmitic Acid_Block1,1.978603841005739
Fold_1,Oleic Acid_Block1,1.8876018868545426
Fold_1,5-Hydroxy-DL-tryptophan_Block1,1.817477520554224
Fold_1,L-Cysteinylglycine disulfide_Block2,1.7785309919409713
Fold_1,4-Hydroxybutyric acid (GHB)_Block1,1.771247851399354
Fold_1,DL-Lactic Acid_Block1,1.6472752801092185
Fold_1,Cysteine-glutathione disulfide_Block2,1.6075264758549435
Fold_1,N-Glycosyl-L-asparagine_Block2,1.5838832174652515
Fold_1,Urocanic acid_Block1,1.5808789066868536
Fold_1,Acetyl-L-carnitine_Block2,1.5805162240704123
Fold_1,glu-ser_Block2,1.579031535660162
Fold_1,Caproylglycine_Block1,1.5094355516008662
Fold_1,Hypoxanthin_Block1,1.490701665239261
Fold_1,Υ-L-Glutamyl-L-glutamic acid_Block2,1.4597695768105734
Fold_1,5-Hydroxyindole-3-acetic acid_Block2,1.4570344930909416
Fold_1,dl-3-Indolelactic acid_Block1,1.4518596215020008
Fold_1,Cortisone_Block1,1.4440268289577456
Fold_1,L-Histidine_Block2,1.4348634418520758
Fold_1,trans-3-Indoleacrylic acid_Block2,1.4207149057313828
Fold_1,Acetylarginine_Block2,1.395147351153689
Fold_1,L-gamma-Glutamyl-L-valine_Block2,1.3613516200160294
Fold_1,neuraminic acid_Block2,1.3362342861755532
Fold_1,Isocitric acid_Block1,1.3351552910756757
Fold_1,Glycyl-4-hydroxyproline_Block2,1.3150026309273717
Fold_1,"3beta,7alpha-Dihydroxy-5-cholestenoate_Block1",1.23214199633749
Fold_1,epsilon-(gamma-Glutamyl)-lysine_Block2,1.216820549535402
Fold_1,Androsterone sulfate_Block1,1.2045637633931623
Fold_1,Tetramethylurea_Block2,1.2019166964293064
Fold_1,Deoxyguanosine diphosphate (dGDP)_Block1,1.1739795019197048
Fold_1,Aceglutamide_Block2,1.1719216782454784
Fold_1,palmitoleoyl ethanolamide_Block1,1.132190082043041
Fold_1,glu-thr_Block2,1.1269108161281125
Fold_1,Glutarylcarnitine_Block2,1.117661764262755
Fold_1,Bilirubin_Block1,1.1162935586442246
Fold_1,5a-Dihydrotestosterone sulfate_Block1,1.114608243324453
Fold_1,N-Acetylneuraminic acid_Block2,1.1135839711550768
Fold_1,DL-Tryptophan_Block1,1.096653326558897
Fold_1,Palmitoleic acid_Block1,1.0705219265815304
Fold_1,D-(+)-Proline_Block2,1.0550739595612708
Fold_1,Glutamylalanine_Block2,1.0478888627421648
Fold_1,Myristoleic acid_Block1,1.0203855338816021
Fold_1,Taurine_Block2,1.0199921194335235
Fold_1,Oleoylcarnitine_Block2,1.0073834354205669
Fold_1,Arachidonic acid_Block1,1.0054642702468806
Fold_1,Platelet-activating factor_Block2,1.000334718758893
Fold_1,Palmitoylcarnitine_Block2,0.9965966449490643
Fold_1,Glucosylgalactosyl hydroxylysine_Block2,0.9909635020141314
Fold_1,9-Decenoylcarnitine_Block2,0.9792876947629048
Fold_1,Creatinine_Block2,0.9773658021957065
Fold_1,β-Estradiol_Block1,0.970670055695635
Fold_1,Adenosine 5'-monophosphate_Block2,0.9586078051686961
Fold_1,L-Valine_Block2,0.9509989372957282
Fold_1,cis-5-Tetradecenoylcarnitine_Block2,0.9493977993071083
Fold_1,L(-)-Carnitine_Block2,0.9469163437738667
Fold_1,Hexanoylcarnitine_Block2,0.9358631655241351
Fold_1,Aspartylglucosamine_Block1,0.9182138998065511
Fold_1,L-(-)-Threonine_Block1,0.9088081749083817
Fold_1,3-oxopalmitic acid_Block1,0.9012818928719453
Fold_1,Ala-Leu_Block2,0.9005012519637304
Fold_1,Sphingosine (d18:1)_Block2,0.8935749252845329
Fold_1,Decanoylcarnitine_Block2,0.8877596383301879
Fold_1,Glu-Gly_Block2,0.8545162507500144
Fold_1,C12-Carnitine_Block2,0.8478202393201569
Fold_1,"3a,7a-Dihydroxycholanoic acid_Block1",0.8439163043123671
Fold_1,Testosterone sulfate_Block1,0.8378580133981994
Fold_1,trans-2-Dodecenoylcarnitine_Block2,0.8285658827237397
Fold_1,gamma-Glu-gln_Block2,0.8218014289473764
Fold_1,Aminoadipic acid_Block1,0.8213680770686007
Fold_1,g-Guanidinobutyrate_Block2,0.7999864584128422
Fold_1,L-(+)-Alanine_Block1,0.789180257700175
Fold_1,C8-Carnitine_Block2,0.7878030492103442
Fold_1,3-Methylglutarylcarnitine_Block2,0.7858337051741159
Fold_1,Panthenol_Block2,0.7774677730108381
Fold_1,D-Tyrosine_Block1,0.7773407292289198
Fold_1,"N3,N4-Dimethyl-L-arginine_Block2",0.7608482504923715
Fold_1,b-Ala-Lys_Block2,0.759216208130797
Fold_1,Homo-L-arginine_Block2,0.7565924612450654
Fold_1,L-gamma-Glutamyl-L-leucine_Block2,0.7424686612118753
Fold_1,Pseudouridine_Block1,0.7332422406716734
Fold_1,L-Glutamic acid_Block2,0.7324373141458819
Fold_1,DL-Homoserine_Block2,0.7312701816989664
Fold_1,trans-4-Hydroxy-L-proline_Block2,0.7311366282600582
Fold_1,3-Hydroxyvaleric acid_Block1,0.7188718268295365
Fold_1,Val-lys_Block2,0.7169691241554427
Fold_1,L-(+)-Citrulline_Block2,0.7168857020829367
Fold_1,1-Methylhistidine_Block2,0.7161423882091198
Fold_1,DL-Lysine_Block2,0.7138675892789409
Fold_1,Betaine_Block2,0.7089796542541548
Fold_1,Deoxycholic Acid_Block1,0.6983297597819135
Fold_1,16alpha-hydroxydehydroepiandrosterone 3-sulfate_Block1,0.6902631015997948
Fold_1,(R)-3-hydroxybutyrylcarnitine_Block2,0.6851874760779644
Fold_1,L-Aspartic acid_Block2,0.6626240259783792
Fold_1,3-Hydroxydodecanoic acid_Block2,0.6594996641871848
Fold_1,Ac-Ala-OH_Block1,0.6537834163648226
Fold_1,Myrmicacin_Block2,0.6506668022215171
Fold_1,Hydroxyhexanoycarnitine_Block2,0.6465665732076752
Fold_1,N-Tridecanoylglycine_Block2,0.6405389520235214
Fold_1,3-hydroxyoctanoylcarnitine_Block2,0.6360696492593912
Fold_1,Taurochenodeoxycholic Acid_Block1,0.634366058212642
Fold_1,L-Phenylalanine_Block1,0.6291870221522001
